,Title,Role,Company,Location,Ctc,Experience,Skills
84,Business Analyst Job in Seoni at Defenzelite Private Limited,Business Analyst,Defenzelite Private Limited,Seoni,"₹ 2,00,000 - 3,00,000",1-3 years,"Business Analysis,Business Research,Data Analytics,MS-Excel,Project Management,Research and Analytics"
87,Remote SAP Developer Job at Luminos Technology,SAP Developer,Luminos Technology,Work from home,"₹ 4,00,000 - 7,00,000",0-2 years,Machine Learning
90,Remote Data Analytics Manager Job at VICE ENTERPRISES,Data Analytics Manager,VICE ENTERPRISES,Work from home,"₹ 4,00,000 - 7,00,000",0-1 years,Advanced Excel
93,Remote Big Data Associate Job at VICE ENTERPRISES,Big Data Associate,VICE ENTERPRISES,Work from home,"₹ 4,00,000 - 7,00,000",0-1 years,MS-PowerPoint
96,Remote Data Analytics Executive Job at Luminos Technology,Data Analytics Executive,Luminos Technology,Work from home,"₹ 4,00,000 - 6,00,000",0-1 years,MS-Excel
99,Remote Azure Data Engineer Job at Blackcoffer,Azure Data Engineer,Blackcoffer,Work from home,"₹ 5,00,000 - 12,00,000",3-5 years,"APIs,Deep Learning,Django,Flask,Machine Learning,Power BI,Python"
102,Remote Data Scientist Job at Softsensor.ai,Data Scientist,Softsensor.ai,Work from home,"₹ 5,00,000 - 7,00,000",0-3 years,"Data Analytics,Data Science,Machine Learning,Python,SQL"
105,Remote Big Data Executive Job at VICE ENTERPRISES,Big Data Executive,VICE ENTERPRISES,Work from home,"₹ 4,00,000 - 7,00,000",0-1 years,SQL
108,Remote Data Engineer Job at Blackcoffer,Data Engineer,Blackcoffer,Work from home,"₹ 3,00,000 - 5,00,000",1 year,"Amazon Web Server (AWS),Amazon Web Services (AWS),Django,Elasticsearch,Flask,Google Cloud Computing,MongoDB,Power BI,Python,REST API,Tableau"
111,Remote Data Entry Executive Job at Azad Bharat Info Services,Data Entry Executive,Azad Bharat Info Services,Work from home,"₹ 7,00,000 - 8,00,000",0-5 years,"Business Analysis,Data Analysis,English Proficiency (Written),MS-Excel,MS-Office,Recruitment,Report Writing,SAS"
114,Remote Data Analyst Job at MUKESH SHARMA,Data Analyst,MUKESH SHARMA,Work from home,"₹ 4,00,000 - 7,00,000",0 years,Python
